Word,Definition
가감,addition or/and reduction/subtraction (add or/and reduce/subtract)
가거절통지, 지정체약당사자 관청이 지정체약당사자의 영역에서 해당 디자인이 보호받을 수 없는 이유를 국제사무국을 통해 국제디자인등록출원인에게 알리는 것을 말한다. 
가검역증,provisional quarantine certificate
가격," 사업자가 거래의 상대방에게 상품 또는 용역을 제공하고 반대급부로 받는 일체의 경제적 대가를 의미하며, 권고가격, 기준가격, 표준가격, 수수료, 임대료 등 명칭 여하를 불문한다. "
가격검증," 제11조제1항에 따라 공표한 시설자재 가격에 대해 관련업계의 의견을 반영하는 시스템을 말한다. ,  업체의 제안가격에 대해 각종 가격정보를 획득하여 적정성 여부를 비교ㆍ분석ㆍ확인하는 행위를 말한다. "
가격결정,price determination
가격결정방법,price determination method
가격관리자, 각 기술과의 가격조사 업무를 총괄하는 사무관(또는 서기관)을 말한다. 
가격기준,price standards
가격담당공무원, 해당 물품구매의 가격을 담당하는 4급이하 공무원을 말한다. 
가격동향,price trend
가격변동,price fluctuation
가격변동지수,price fluctuation index
가격비교,price comparison
가격사정,price situation
가격수준,price level
가격시점," 제67조제1항에 따른 보상액 산정(算定)의 기준이 되는 시점을 말한다. ,  법 제67조제1항의 규정에 의한 보상액 산정의 기준이 되는 시점을 말한다. , point of time for price"
가격안정,price stability
가격자료," 가격협상을 위하여 적격자가 제출하는 다음 각 호의 서류를 말한다. 
가. 가격자료 제출서 [별지 제1호 서식] 
나. 가격 총괄표 [별지 제1-1호 서식] 
다. 규격별 거래내역 [별지 제1-2호 서식] 
라. 견적서 및 규격 대비표 [별지 제2호, 제2-1호, 제2-2호 서식] 
마. 가격증빙자료(Price List, sales records, 계약서 사본, 원가계산서, 업체 공표가격 또는 카탈로그 가격표 등) ,  아스콘 다수공급자계약 적격자가 가격협상을 위하여 조달청에 제출하는 서류를 말한다. ,  가격협상을 위하여 적격자가 제출하는 서류를 말한다. ,  가격협상을 위하여 적격자가 제출하는 서류를 말한다. ,  가격협상을 위하여 적격자가 제출하는 다음 각호의 서류를 말한다. 
가. 가격자료 제출서 [별지 제1호 서식] 
나. 가격 총괄표 [별지 제1-1호 서식] 
다. 규격별 거래내역 [별지 제1-2호, 제1-3호, 제1-4호, 제1-5호 서식] 
라. 가격증빙자료(세금계산서 사본, 계약서 사본(과업설명서 포함), 정산내역서 사본, 거래명세표 사본, 원가계산서, 공표가격표 또는 카탈로그 가격표, 매출원장 사본 등) ,  가격협상을 위하여 적격자가 제출하는 다음 각 호의 서류를 말한다. 
가. 가격자료 제출서[별지 제1호 서식] 
나. 가격 총괄표[별지 제1-1호 서식] 
다. 규격별 거래내역[별지 제1-2호 서식] 
라. 가격증빙자료(세금계산서 사본, 계약서 사본, 거래명세표 사본, 원가계산서, 공표가격표 또는 카탈로그 가격표, 매출원장 사본 등) ,  가격협상을 위하여 적격자가 제출하는 다음 각 호의 서류를 말한다. 
가. 가격자료 제출서 [별지 제1호 서식] 
나. 공고상품별 거래실례가격총괄표 [별지 제1-1호 서식] 
다. 담보별 상세 거래내역 [별지 제1-2호 서식] 
라. 가격증빙자료(감독당국에 신고한 해당 담보의 평균연령에 해당하는 보험요율표 등) ,  가격협상을 위하여 적격자가 제출하는 서류를 말한다. ,  레미콘 다수공급자계약 적격자가 가격협상을 위하여 조달청에 제출하는 서류를 말한다. ,  가격협상을 위하여 계약상대자가 제출하는 서류를 말한다. "
가격정보," 가격표시의무자가 판매하는 수소의 정상가격, 할인가격, 할인율, 할인금액 등 소비자가 수소를 구매할 때 적용받는 가격에 관한 모든 정보를 말한다. ,  가격표시의무자가 판매하는 석유제품의 정상가격, 할인가격, 할인율, 할인금액, 면세유판매가격 등 소비자가 석유제품을 구매할 때 적용 받는 가격에 관한 모든 정보를 말한다. "
가격조사," 시설공사 원가계산에 적용되는 자재가격 및 시장시공가격을 조사하는 것을 말한다. ,  「가격정보」에 게재할 가격을 조사하는 것을 말한다. "
