Word,Definition
생활물류서비스산업, 생활물류서비스 활동을 통하여 경제적 또는 사회적 부가가치를 창출하는 산업을 말한다. 
생활물류서비스종사자," 생활물류서비스사업에 종사하는 사람으로서 다음 각 목의 사람을 말한다. 
가. 택배서비스종사자: 택배서비스사업자 또는 영업점 등과 택배서비스 운송 위탁계약이나 근로계약 등을 통하여 화물의 집화, 배송 등의 업무에 종사하는 사람 
나. 소화물배송대행서비스종사자: 소화물배송대행서비스인증사업자 또는 영업점과 운송 위탁계약이나 근로계약 등을 통하여 화물의 배송 등의 업무에 종사하는 사람 "
생활물류시설," 「물류시설의 개발 및 운영에 관한 법률」 제2조제1호에 따른 물류시설 중 화물의 집화, 하역, 분류, 보관, 배송 등을 위하여 생활물류서비스사업에 이용되는 시설을 말한다. "
생활박물, 박물관자료 중 한센인의 생활과 관련한 자료를 말한다. 
생활보호, protection of living;livelihood protection
생활비용, living expense/cost
생활수준, living standard
생활숲," 마을숲 등 생활권 및 학교와 그 주변지역에서 국민들에게 쾌적한 생활환경과 아름다운 경관의 제공 및 자연학습교육 등을 위하여 조성ㆍ관리하는 다음 각 목의 산림 및 수목을 말한다. 
가. 마을숲: 산림문화의 보전과 지역주민의 생활환경 개선 등을 위하여 마을 주변에 조성ㆍ관리하는 산림 및 수목 
나. 경관숲: 우수한 산림의 경관자원 보존과 자연학습교육 등을 위하여 조성ㆍ관리하는 산림 및 수목 
다. 학교숲: 「초ㆍ중등교육법」 제2조에 따른 학교와 그 주변지역에서 학습환경 개선과 자연학습교육 등을 위하여 조성ㆍ관리하는 산림 및 수목 "
생활스포츠, 건강과 체력 증진을 위하여 행하는 자발적이고 일상적인 스포츠 활동을 말한다. 
생활습관병," 생활양식의 잘못으로 생기거나 악화되는 질환을 말하며 고혈압, 당뇨, 비만, 심혈관질환, 고지혈증 등이 포함된다. "
생활실, 학생이 합숙하는 생활관 내부의 각 격실을 말한다. 
생활안전국,Public Safety Bureau
생활안정과,Patriots Loan and Employment Division
생활안정지원대상자, 일본군위안부 중 생존자로서 제3조에 따라 등록된 사람을 말한다. 
생활양식, 일상생활 중 나타나는 개인의 반복되는 행위와 습관을 총칭한다. 
생활오수, 실험폐수를 제외한 하수를 말한다. 
생활용품," 세제ㆍ세면용품 등 개인 위생관리에 필요한 물품으로서 대통령령으로 정하는 물품을 말한다. ,  공업적으로 생산된 물품으로서 별도의 가공(단순한 조립은 제외한다) 없이 소비자의 생활에 사용할 수 있는 제품이나 그 부분품 또는 부속품(전기용품은 제외한다)을 말한다. "
생활인구," 특정 지역에 거주하거나 체류하면서 생활을 영위하는 사람으로서 다음 각 목의 어느 하나에 해당하는 사람을 말한다. 
가. 「주민등록법」 제6조제1항에 따라 주민으로 등록한 사람 
나. 통근, 통학, 관광, 휴양, 업무, 정기적 교류 등의 목적으로 특정 지역을 방문하여 체류하는 사람으로서 대통령령으로 정하는 요건에 해당하는 사람 
다. 외국인 중 대통령령으로 정하는 요건에 해당하는 사람 "
생활제품안전과,Consumer Product Safety Division
생활주변방사선," 다음 각 목의 방사선을 말한다. 
가. 원료물질, 공정부산물(工程副産物) 및 가공제품에 포함된 천연방사성핵종(天然放射性核種)에서 방출되는 방사선. 다만, 「원자력안전법」에 따라 관리되는 핵물질에서 방출되는 방사선은 제외한다. 
나. 태양 또는 우주로부터 지구 대기권으로 입사(入射)되는 방사선(이하 ""우주방사선""이라 한다) 
다. 지구표면의 암석 또는 토양에서 방출되는 방사선(이하 ""지각방사선""이라 한다) 
라. 국내 또는 외국에서 수집되어 판매되거나 재활용되는 고철(이하 ""재활용고철""이라 한다)에 포함된 방사성물질에서 방출되는 방사선 "
생활지도, 학습지도 이외의 모든 교육훈련을 말한다. 
생활지도교수,교육생의 생활지도 등을 하는 교수를 말한다. 
생활지도교수요원,
생활지도담당,교육생의 생활지도 등을 하는 담당을 말한다. 
생활지도담당자," ""인재원"" 기숙사 담당자와 방호실 근무자, 당직근무자 등을 말한다. ,  중앙소방학교 생활관 지도교수요원 등을 말한다. ,  생활지도관, 경비실 근무자, 당직 근무자 등을 말한다. "
생활지원금, 법 제8조제1항 및 영 제13조제1항제2호에 따라 국가대표 선수ㆍ지도자 중 생활형편이 어려운 사람을 보조하기 위한 지원금을 말한다. 
생활체육," 「국민체육진흥법」 제2조제3호에 따른 생활체육을 말한다. ,  건강과 체력 증진을 위하여 행하는 자발적이고 일상적인 체육 활동을 말한다. "
생활체육과,Sports for All Division
생활체육종목단체, 특정 종목에 관한 활동과 사업을 목적으로 설립되고 국민생활체육회에 회원으로 가입한 법인 또는 단체를 말한다. 
생활체육지도자, 「국민체육진흥법」 제2조제6호에 따른 체육지도자 중 생활체육 활동을 지도하기 위하여 배치된 사람을 말한다. 
생활폐기물," 사업장폐기물 외의 폐기물을 말한다. ,  사업장폐기물 외의 폐기물을 말한다. , 사업장폐기물 외의 폐기물을 말한다. ,  domestic waste"
생활필수품," 육지에서 도서지역으로 운반하는 유류, 가스, 연탄, 목재펠릿을 말한다. ,  육지에서 서해 5도로 운반하는 유류, 가스, 연탄, 목재펠릿을 말한다. ,  necessaries"
